t,Wx,Wy,Wz,Wt
22.427908,0.878,0.014,1.068,1.382
22.429051,0.878,-0.013,1.048,1.367
22.434397,0.878,-0.037,1.028,1.352
22.434468,0.873,-0.063,1.005,1.333
22.436366,0.862,-0.093,0.98,1.308
22.437047,0.848,-0.121,0.952,1.281
22.442506,0.83,-0.156,0.923,1.251
22.445338,0.765,-0.241,0.834,1.158
22.447222,0.741,-0.274,0.798,1.123
22.451404,0.711,-0.305,0.762,1.086
22.451744,0.68,-0.335,0.728,1.051
22.453264,0.647,-0.366,0.696,1.018
22.455243,0.618,-0.387,0.668,0.989
22.459814,0.586,-0.415,0.64,0.962
22.459885,0.555,-0.437,0.617,0.938
22.461108,0.54,-0.448,0.608,0.929
22.463858,0.51,-0.467,0.588,0.908
22.467783,0.483,-0.484,0.577,0.894
22.467976,0.458,-0.498,0.569,0.884
22.469148,0.43,-0.504,0.561,0.868
22.471845,0.407,-0.505,0.557,0.855
22.47604,0.384,-0.503,0.557,0.843
22.476562,0.367,-0.497,0.555,0.83
22.477087,0.362,-0.495,0.556,0.828
22.479982,0.349,-0.481,0.557,0.814
22.481022,0.338,-0.462,0.561,0.802
22.484451,0.331,-0.442,0.561,0.788
22.485096,0.328,-0.421,0.561,0.775
22.487893,0.321,-0.401,0.563,0.762
22.489014,0.317,-0.376,0.561,0.747
22.492651,0.31,-0.356,0.558,0.731
22.493041,0.297,-0.338,0.549,0.71
22.495504,0.292,-0.329,0.547,0.702
22.497123,0.28,-0.315,0.541,0.686
22.500882,0.265,-0.302,0.533,0.667
22.501088,0.247,-0.285,0.522,0.644
22.503755,0.233,-0.274,0.511,0.625
22.50511,0.225,-0.263,0.499,0.607
22.509687,0.224,-0.253,0.483,0.589
22.509751,0.231,-0.246,0.469,0.578
22.511396,0.244,-0.244,0.456,0.572
22.513102,0.247,-0.244,0.447,0.566
22.517674,0.268,-0.247,0.434,0.567
22.517746,0.29,-0.249,0.418,0.567
22.519824,0.319,-0.256,0.403,0.575
22.521039,0.35,-0.262,0.39,0.586
22.526464,0.384,-0.276,0.376,0.603
22.526539,0.421,-0.288,0.366,0.628
22.527847,0.462,-0.299,0.357,0.656
22.52899,0.484,-0.307,0.351,0.673
22.534401,0.525,-0.317,0.345,0.703
22.534473,0.567,-0.336,0.341,0.743
22.536148,0.607,-0.35,0.34,0.779
22.537024,0.652,-0.369,0.343,0.824
22.543238,0.691,-0.386,0.345,0.863
22.54749,0.831,-0.453,0.365,1.014
22.55177,0.864,-0.469,0.371,1.051
22.559166,0.945,-0.508,0.39,1.141
22.561217,0.984,-0.52,0.412,1.187
22.563251,0.991,-0.517,0.42,1.194
22.567637,0.99,-0.513,0.421,1.192
22.567905,0.992,-0.502,0.426,1.191
22.571856,0.984,-0.467,0.429,1.171
22.575722,0.975,-0.445,0.427,1.154
22.579916,0.935,-0.373,0.401,1.083
22.581241,0.919,-0.348,0.386,1.056
22.584128,0.907,-0.335,0.374,1.037
22.585148,0.889,-0.31,0.357,1.008
22.587883,0.873,-0.281,0.332,0.975
22.589048,0.856,-0.249,0.307,0.943
22.592847,0.841,-0.217,0.274,0.911
22.593115,0.829,-0.186,0.243,0.884
22.595976,0.819,-0.155,0.208,0.859
22.597034,0.809,-0.123,0.168,0.836
22.601338,0.806,-0.09,0.128,0.821
22.601409,0.805,-0.073,0.106,0.815
22.603206,0.808,-0.04,0.062,0.812
22.605075,0.812,-0.012,0.02,0.813
22.609488,0.822,0.017,-0.026,0.822
22.60956,0.841,0.042,-0.068,0.845
22.611767,0.86,0.073,-0.114,0.871
22.613096,0.884,0.102,-0.158,0.904
22.618347,0.911,0.122,-0.199,0.941
22.621361,0.972,0.125,-0.266,1.016
22.626812,0.994,0.116,-0.284,1.04
22.629194,1.037,0.093,-0.312,1.087
22.634535,1.076,0.093,-0.349,1.135
22.634649,1.095,0.092,-0.432,1.181
22.637561,1.069,0.095,-0.475,1.174
22.637637,1.045,0.1,-0.536,1.179
22.643023,0.976,0.116,-0.555,1.129
22.645256,0.635,0.242,-0.459,0.82
22.651285,0.489,0.286,-0.408,0.698
22.654577,0.329,0.321,-0.378,0.595
22.655632,-0.115,0.343,-0.388,0.531
22.659563,-0.31,0.345,-0.398,0.611
22.659646,-0.505,0.346,-0.387,0.724
22.663828,-0.883,0.355,-0.349,1.013
22.66753,-1.062,0.354,-0.328,1.166
22.671638,-1.46,0.293,-0.288,1.517
22.673076,-1.603,0.25,-0.286,1.647
22.676103,-1.74,0.194,-0.301,1.777
22.677129,-1.863,0.158,-0.307,1.894
22.680045,-1.969,0.147,-0.289,1.995
22.681051,-2.055,0.134,-0.231,2.072
22.684486,-2.115,0.119,-0.148,2.124
22.685056,-2.154,0.105,-0.054,2.157
22.687978,-2.159,0.1,-0.006,2.162
22.689131,-2.157,0.105,0.081,2.161
22.692814,-2.131,0.12,0.157,2.14
22.693085,-2.085,0.133,0.223,2.102
22.696079,-2.02,0.15,0.285,2.045
22.697156,-1.937,0.17,0.346,1.975
22.70126,-1.839,0.191,0.397,1.891
22.701329,-1.726,0.216,0.443,1.795
22.704,-1.597,0.24,0.481,1.685
22.705171,-1.531,0.254,0.495,1.629
22.709457,-1.388,0.29,0.514,1.509
22.709553,-1.236,0.338,0.523,1.384
22.711241,-1.071,0.393,0.525,1.256
22.713174,-0.902,0.451,0.519,1.134
22.717451,-0.727,0.516,0.502,1.023
22.717523,-0.549,0.586,0.475,0.933
22.719331,-0.363,0.659,0.442,0.873
22.721389,-0.179,0.729,0.403,0.852
22.72621,-0.087,0.769,0.381,0.863
22.729193,0.447,0.984,0.228,1.105
22.734814,0.611,1.051,0.172,1.228
22.737283,1.054,1.23,0.002,1.62
22.743556,1.184,1.273,-0.053,1.739
22.74795,1.583,1.375,-0.215,2.108
22.751082,1.676,1.378,-0.251,2.184
22.751921,1.759,1.367,-0.28,2.246
22.753516,1.837,1.341,-0.307,2.295
22.756282,1.902,1.309,-0.331,2.332
22.759733,1.933,1.29,-0.342,2.349
22.76333,2.074,1.174,-0.385,2.414
22.767812,2.107,1.139,-0.395,2.428
22.771747,2.164,1.021,-0.404,2.427
22.77316,2.175,0.986,-0.403,2.422
22.776206,2.18,0.965,-0.4,2.417
22.777244,2.181,0.927,-0.396,2.403
22.779707,2.18,0.887,-0.389,2.386
22.781235,2.172,0.842,-0.382,2.361
22.784751,2.165,0.797,-0.379,2.338
22.785208,2.151,0.76,-0.373,2.311
22.78809,2.138,0.717,-0.365,2.284
22.789265,2.115,0.674,-0.358,2.249
22.792769,2.093,0.629,-0.349,2.213
22.793161,2.08,0.61,-0.344,2.195
22.79676,2.051,0.569,-0.337,2.155
22.797229,2.016,0.527,-0.327,2.11
22.801368,1.982,0.488,-0.318,2.065
22.801443,1.938,0.449,-0.307,2.013
22.804025,1.897,0.407,-0.302,1.964
22.805174,1.851,0.362,-0.295,1.909
22.809445,1.803,0.325,-0.286,1.854
22.809524,1.754,0.284,-0.279,1.798
22.812134,1.729,0.266,-0.277,1.771
22.813228,1.677,0.233,-0.269,1.714
22.818035,1.63,0.203,-0.259,1.663
22.821361,1.504,0.136,-0.225,1.527
22.827419,1.47,0.128,-0.211,1.491
22.831645,1.378,0.122,-0.155,1.392
22.834467,1.358,0.124,-0.135,1.37
22.836554,1.345,0.13,-0.119,1.357
22.837357,1.33,0.14,-0.101,1.341
22.843602,1.324,0.144,-0.083,1.335
22.84808,1.308,0.18,-0.04,1.321
22.851315,1.309,0.188,-0.028,1.323
22.85198,1.313,0.196,-0.02,1.327
22.853221,1.313,0.201,-0.012,1.328
22.856301,1.315,0.203,-0.002,1.331
22.859431,1.319,0.208,0.01,1.336
22.859988,1.321,0.206,0.016,1.337
22.861131,1.321,0.203,0.026,1.336
22.864,1.324,0.2,0.031,1.339
22.867877,1.323,0.194,0.037,1.337
22.871352,1.302,0.158,0.052,1.313
