t,Ax,Ay,Az,aT
3.361766,3.4369,3.109,-0.706,4.69
3.375411,4.1173,2.8757,-0.1975,5.03
3.383584,4.3481,2.9065,0.1064,5.23
3.391845,4.2309,2.9422,0.4339,5.17
3.400001,3.9569,2.8945,0.7228,4.96
3.407782,3.5273,2.807,1.0705,4.63
3.4246,2.6471,2.6038,1.9549,4.2
3.431969,2.1005,2.3698,2.0443,3.77
3.440159,1.8526,2.0689,2.1864,3.53
3.447959,1.9351,1.6112,2.2338,3.37
3.464174,2.5101,0.3094,2.1635,3.33
3.473227,2.8954,-0.3823,2.1816,3.65
3.480098,3.1446,-0.7534,2.1619,3.89
3.488221,3.2371,-0.9046,2.2696,4.06
3.503888,2.9737,-1.0273,2.4082,3.96
3.512073,2.5714,-1.1854,2.5209,3.79
3.521077,2.3826,-1.3903,2.6095,3.8
3.529956,2.4637,-1.6858,2.6011,3.96
3.540176,2.5007,-1.9972,2.6694,4.17
3.552134,2.7063,-2.6038,3.1295,4.89
3.562162,2.9399,-2.8194,3.5081,5.38
3.571885,3.1018,-3.0293,3.8889,5.82
3.583462,3.0448,-3.3798,4.458,6.37
3.591851,2.9218,-3.5801,4.6025,6.52
3.600011,2.8398,-3.7097,4.7319,6.65
3.608058,2.9081,-3.7786,4.7869,6.76
3.627809,3.0034,-3.9852,4.7675,6.9
3.632221,3.0168,-4.0389,4.6951,6.89
3.640168,3.1295,-4.0661,4.7148,6.97
3.65014,3.3786,-4.0505,4.7887,7.12
3.664206,3.47,-4.1239,4.9733,7.33
3.672201,3.2355,-4.1682,5.0142,7.28
3.679503,2.9169,-4.2431,4.9983,7.18
3.695708,1.8038,-4.4503,4.8793,6.85
3.706483,1.3219,-4.4396,4.8186,6.68
3.713502,1.0064,-4.4439,4.7234,6.56
3.720773,0.7108,-4.4805,4.5577,6.43
3.729024,0.5882,-4.5605,4.4389,6.39
3.738247,0.758,-4.5739,4.446,6.42
3.752186,1.1997,-4.4295,4.3736,6.34
3.762583,1.1502,-4.3638,4.3245,6.25
3.771838,1.0418,-4.3104,4.3215,6.19
3.779968,0.9518,-4.2169,4.3543,6.14
3.791401,1.3382,-3.8968,4.3336,5.98
3.800096,1.3721,-3.8157,4.295,5.91
3.80817,1.2198,-3.8886,4.2201,5.87
3.824011,1.0267,-4.0228,4.2482,5.94
3.831968,1.0866,-4.0118,4.3434,6.01
3.840529,1.1453,-4.0237,4.4149,6.08
3.847835,1.1732,-4.0131,4.5049,6.15
3.863966,1.1953,-3.9452,4.8065,6.33
3.872129,1.334,-3.8455,4.9342,6.4
3.880221,1.6987,-3.623,5.0215,6.42
3.895435,2.0277,-3.2361,5.0504,6.33
3.906407,2.1063,-3.0015,5.0589,6.25
3.912455,1.9181,-3.0307,4.9092,6.08
3.920572,1.665,-3.1166,4.7106,5.89
3.928699,1.4973,-3.138,4.4368,5.64
3.938647,1.4422,-3.0668,4.2544,5.44
3.951698,1.6021,-2.6898,4.0129,5.09
3.964242,1.542,-2.5768,3.9372,4.95
3.970319,1.5034,-2.4732,3.7798,4.76
3.979003,1.4285,-2.4058,3.6241,4.58
3.991814,1.317,-2.2711,3.2321,4.16
3.999798,1.3118,-2.2466,2.9916,3.96
4.007991,1.2369,-2.1921,2.8126,3.77
4.023974,1.0729,-2.054,2.5198,3.42
4.032026,0.9816,-1.9637,2.404,3.26
4.040243,0.9982,-1.8201,2.278,3.08
4.04841,0.9832,-1.6236,2.1625,2.88
4.06599,0.9514,-1.3501,2.0099,2.6
4.072247,0.9684,-1.3014,1.9494,2.54
4.080079,1.0352,-1.2971,1.909,2.53
4.088184,1.0913,-1.2676,1.9215,2.55
4.103299,1.0763,-1.242,1.8193,2.45
4.111916,1.137,-1.2593,1.8138,2.48
